Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate
01801,39315.0,40.0,79034.0,36021.0,2614.0,6.648861757598881
01803,25190.0,41.8,95465.0,41849.0,1183.0,4.696308058753473
01810,34251.0,41.5,125321.0,54191.0,1459.0,4.259729642930133
01821,31157.0,40.7,91605.0,38769.0,1924.0,6.175177327727316
01824,25582.0,44.5,103411.0,45974.0,902.0,3.525916660151669
01826,30315.0,40.0,76879.0,33539.0,1522.0,5.020616856341745
01827,3299.0,45.3,116125.0,47060.0,44.0,1.333737496210973
01830,26415.0,38.8,55237.0,29266.0,4009.0,15.176982774938482
01832,22137.0,38.4,60351.0,30102.0,2586.0,11.68179970185662
01833,8379.0,41.7,106898.0,44547.0,221.0,2.637546246568803
01834,6805.0,45.6,92898.0,38717.0,181.0,2.659808963997061
01835,13217.0,37.7,74156.0,32922.0,766.0,5.795566316108043
01840,4799.0,35.4,18140.0,16430.0,1707.0,35.569910397999585
01841,47125.0,30.5,32367.0,15522.0,14007.0,29.723076923076924
01843,25440.0,30.7,43920.0,20744.0,6093.0,23.95047169811321
01844,48159.0,39.3,68587.0,31023.0,4344.0,9.020120849685417
01845,28963.0,41.2,100544.0,49045.0,1282.0,4.426337050719884
01850,16198.0,32.0,51556.0,22277.0,2786.0,17.199654278305964
01851,30379.0,33.5,52031.0,22729.0,5297.0,17.43638697784654
01852,32735.0,35.2,48690.0,26735.0,5938.0,18.139605926378493
01854,29214.0,30.7,42948.0,19671.0,5923.0,20.27452591223386
01860,6536.0,44.4,80508.0,36308.0,306.0,4.681762545899633
01862,10904.0,41.1,98305.0,32609.0,351.0,3.219002201027146
01863,8913.0,44.2,74695.0,41041.0,295.0,3.3097722427914285
01864,15249.0,43.2,112419.0,47455.0,673.0,4.413404157649682
01867,24687.0,41.9,104472.0,46989.0,593.0,2.4020739660550086
01876,29103.0,44.0,88794.0,40493.0,1159.0,3.982407311960966
01879,11867.0,41.0,93108.0,41977.0,840.0,7.078452852447965
01880,25460.0,42.2,85694.0,40414.0,1133.0,4.450117831893166
01886,22854.0,42.5,125143.0,49168.0,625.0,2.7347510282663867
